,BrandName,ProductName,ProductMRP,ProductSellingPrice,ProductRating,ProductRatingCount,source,category
0,Snitch,Pure Cotton T-shirt,0,0,0,0,MyntraTshirtMens,Tshirt
1,H&M,3-Pack Regular Fit T-shirts,0,0,4.1,31,MyntraTshirtMens,Tshirt
2,Levis,Solid Lounge T-shirt,Rs. 649,Rs. 356,4.3,3.5k,MyntraTshirtMens,Tshirt
3,Campus Sutra,Men Solid Cotton Polo T-shirt,Rs. 1699,Rs. 560,4,282,MyntraTshirtMens,Tshirt
4,H&M,Men Pack Of 3 T-Shirts,0,0,4.1,3.4k,MyntraTshirtMens,Tshirt
5,Campus Sutra,Men Self Design Cotton T-shirt,Rs. 1699,Rs. 560,4.4,751,MyntraTshirtMens,Tshirt
6,NOBERO,Oversized Printed T-shirt,Rs. 1799,Rs. 479,4.4,4.4k,MyntraTshirtMens,Tshirt
7,Levis,Pure Cotton Slim Fit T-shirt,Rs. 1599,Rs. 831,4.4,187,MyntraTshirtMens,Tshirt
8,Puma,Men Printed Cotton T-Shirt,Rs. 1499,Rs. 629,3.9,952,MyntraTshirtMens,Tshirt
9,Levis,Solid Lounge T-shirt,Rs. 649,Rs. 363,4.4,3.5k,MyntraTshirtMens,Tshirt
10,DILLINGER,Men Striped Cotton T-shirt,Rs. 1599,Rs. 527,4.1,21,MyntraTshirtMens,Tshirt
11,H&M,Cotton Pure Cotton T-shirt Regular Fit,0,0,4.2,15.8k,MyntraTshirtMens,Tshirt
12,U.S. Polo Assn.,Men Lightweight Lounge T-shirt,Rs. 699,Rs. 559,4.3,1.3k,MyntraTshirtMens,Tshirt
13,H&M,5-Pack Slim Fit T-shirts,0,0,4.3,87,MyntraTshirtMens,Tshirt
14,Genzy,Men Self Design Polo T-shirt,Rs. 2499,Rs. 499,3,1.2k,MyntraTshirtMens,Tshirt
15,ADIDAS,Pure Cotton T-shirt,Rs. 999,Rs. 599,4.3,498,MyntraTshirtMens,Tshirt
16,H&M,3-Pack Regular Fit Polo Shirts,Rs. 2999,Rs. 2099,4.1,56,MyntraTshirtMens,Tshirt
17,TOGS & TERRE,Oversized Cotton T-shirt,Rs. 1499,Rs. 299,3.8,32,MyntraTshirtMens,Tshirt
18,BDSQUARE,Pure Cotton Oversized T-shirt,Rs. 2499,Rs. 399,4.7,29,MyntraTshirtMens,Tshirt
19,H&M,3-Pack Slim Fit T-Shirts,Rs. 1999,Rs. 1399,4.3,47,MyntraTshirtMens,Tshirt
20,BULLMER,Round Neck Cotton T-shirt,Rs. 1499,Rs. 299,3.9,2.7k,MyntraTshirtMens,Tshirt
21,Puma,Drycell Sports T-shirt,Rs. 999,Rs. 499,4.5,82,MyntraTshirtMens,Tshirt
22,Levis,Printed Polo Slim Fit T-shirt,Rs. 2399,Rs. 1247,4.4,64,MyntraTshirtMens,Tshirt
23,BULLMER,Print Oversized Cotton T-shirt,Rs. 1499,Rs. 299,3.9,10.2k,MyntraTshirtMens,Tshirt
24,Levis,Solid Lounge T-shirt,Rs. 649,Rs. 421,4.3,1.7k,MyntraTshirtMens,Tshirt
25,H&M,5-Pack Regular Fit T-Shirts,0,0,3.7,19,MyntraTshirtMens,Tshirt
26,PRONK,Men Printed Oversized T-shirt,Rs. 1499,Rs. 430,4.2,61,MyntraTshirtMens,Tshirt
27,Puma,Graphic Printed Slim Fit Tee,Rs. 1499,Rs. 629,4.2,964,MyntraTshirtMens,Tshirt
28,MANGO MAN,Ribbed Polo Collar T-shirt,0,0,0,0,MyntraTshirtMens,Tshirt
29,DAMENSCH,Ultralight Basic Crew T-Shirt,Rs. 599,Rs. 497,4.5,197,MyntraTshirtMens,Tshirt
30,U.S. Polo Assn.,Pure Cotton Lounge T-shirts,Rs. 699,Rs. 545,4.3,257,MyntraTshirtMens,Tshirt
31,Levis,Pure Cotton Slim Fit T-shirt,Rs. 2199,Rs. 1209,3.9,28,MyntraTshirtMens,Tshirt
32,TheBTclub,Unisex Oversized T-shirt,Rs. 1499,Rs. 589,4.2,20,MyntraTshirtMens,Tshirt
33,Levis,Solid V-Neck Lounge T-shirt,Rs. 649,Rs. 454,4.4,1.7k,MyntraTshirtMens,Tshirt
34,MANGO MAN,Polo Collar T-shirt,Rs. 3690,Rs. 2214,4.2,6,MyntraTshirtMens,Tshirt
35,U.S. Polo Assn.,Printed Lounge T-shirt,Rs. 899,Rs. 674,4.3,487,MyntraTshirtMens,Tshirt
36,Jack & Jones,Men Solid Lounge T-shirt,Rs. 699,Rs. 384,4.1,192,MyntraTshirtMens,Tshirt
37,H&M,3-Pack Regular Fit Polo Shirts,Rs. 2999,Rs. 2099,3.8,49,MyntraTshirtMens,Tshirt
38,U.S. Polo Assn.,Lounge T-shirt,Rs. 699,Rs. 419,4.1,2.8k,MyntraTshirtMens,Tshirt
39,Marks & Spencer,Men Round neck T-shirt,Rs. 1799,Rs. 683,4.5,11,MyntraTshirtMens,Tshirt
40,MANGO MAN,Knitted Polo Collar T-shirt,0,0,4.3,18,MyntraTshirtMens,Tshirt
